Name	Citations	Citations Since 2013	H-index	H-index Since 2013
['ANDRE SAMPAIO MEXIAS', 'https://scholar.google.com.br/citations?user=Aq4BxEcAAAAJ&hl=pt-BR\r\n']	N/A	[]	N/A	
['CESAR LEANDRO SCHULTZ', 'https://scholar.google.com.br/citations?user=y2PN_WoAAAAJ&hl=pt-BR\r\n']	N/A	[]	N/A	
['EDINEI KOESTER', 'https://scholar.google.com.br/citations?user=jxbaEqsAAAAJ&hl=pt-BR\r\n']	N/A	[]	N/A	
['EDUARDO GUIMARAES BARBOZA', 'https://scholar.google.com.br/citations?user=g5YJAo4AAAAJ&hl=pt-BR\r\n']	N/A	[]	N/A	
['ELIRIO ERNESTINO TOLDO JUNIOR', 'https://scholar.google.com.br/citations?user=BWD-a38AAAAJ&hl=pt-BR\r\n']	N/A	[]	N/A	
['JAIR WESCHENFELDER', 'https://scholar.google.com.br/citations?user=doGCocMAAAAJ&hl=pt-BR\r\n']	N/A	[]	N/A	
['LAURO VALENTIM STOLL NARDI', 'https://scholar.google.com.br/citations?user=Mcc-VfQAAAAJ&hl=pt-BR\r\n']	N/A	[]	N/A	
['JAIRO FRANCISCO SAVIAN', 'https://scholar.google.com.br/citations?user=oDjRX88AAAAJ&hl=pt-BR\r\n']	N/A	[]	N/A	
['MARIA LUIZA CORREA DA CAMARA ROSA', 'https://scholar.google.com.br/citations?user=5RoYIu8AAAAJ&hl=pt-BR\r\n']	N/A	[]	N/A	
['MARINA BENTO SOARES', 'https://scholar.google.com.br/citations?user=F69vB1sAAAAJ&hl=pt-BR\r\n']	N/A	[]	N/A	
['KARIN GOLDBERG', 'https://scholar.google.com.br/citations?user=h5LlFUQAAAAJ&hl=pt-BR\r\n']	N/A	[]	N/A	
['ROMMULO VIEIRA CONCEICAO', 'https://scholar.google.com.br/citations?user=5fXKoLIAAAAJ&hl=pt-BR\r\n']	N/A	[]	N/A	
['RUY PAULO PHILIPP', 'https://scholar.google.com.br/citations?user=DeYhQxwAAAAJ&hl=pt-BR\r\n']	N/A	[]	N/A	
['SERGIO REBELLO DILLENBURG', 'https://scholar.google.com.br/citations?user=s_ZS_XAAAAAJ&hl=pt-BR\r\n']	N/A	[]	N/A	
['PAULO ALVES DE SOUZA', 'https://scholar.google.com.br/citations?user=3ccexqQAAAAJ&hl=pt-BR\r\n']	N/A	[]	N/A	
