RESEARCHID	Docente
http://www.researcherid.com/rid/Q-4110-2018	ANA MARIA PIMENTEL MIZUSAKI
http://www.researcherid.com/rid/F-7918-2013	ANDREA RITTER JELINEK
http://www.researcherid.com/rid/G-4559-2012	ANDRE SAMPAIO MEXIAS
http://www.researcherid.com/rid/N-8687-2013	ARI ROISENBERG
http://www.researcherid.com/rid/I-4127-2013	CESAR LEANDRO SCHULTZ
http://www.researcherid.com/rid/R-1419-2018 	CARLA CRISTINE PORCHER
http://www.researcherid.com/rid/Q-9077-2018	CARLOS AUGUSTO SOMMER
http://www.researcherid.com/rid/L-3684-2017	EDINEI KOESTER
http://www.researcherid.com/rid/C-7579-2012	EDUARDO GUIMARAES BARBOZA
http://www.researcherid.com/rid/F-6382-2012	ELIRIO ERNESTINO TOLDO JUNIOR
http://www.researcherid.com/rid/G-5911-2012	IRAN CARLOS STALLIVIERE CORREA
http://www.researcherid.com/rid/C-3390-2013	JAIR WESCHENFELDER
http://www.researcherid.com/rid/D-7232-2013	JEFFERSON CARDIA SIMOES
http://www.researcherid.com/rid/H-7500-2013	JOAO CARLOS COIMBRA
http://www.researcherid.com/rid/R-1953-2018 	JOSE CARLOS FRANTZ
http://www.researcherid.com/rid/R-1965-2018 	JULIANA CHARAO MARQUES
http://www.researcherid.com/rid/Q-7986-2018	LAUREN DA CUNHA DUARTE
http://www.researcherid.com/rid/P-7616-2018	LAURO VALENTIM STOLL NARDI
http://www.researcherid.com/rid/Q-5439-2018	LUIZ FERNANDO DE ROS
http://www.researcherid.com/rid/Q-5602-2018	LEANDRO FARINA
http://www.researcherid.com/rid/D-7663-2013	LEO AFRANEO HARTMANN
http://www.researcherid.com/rid/C-4951-2013	MARGOT GUERRA SOMMER
http://www.researcherid.com/rid/H-8957-2016	MARIA DE FATIMA APARECIDA SARAIVA BITENCOURT
http://www.researcherid.com/rid/A-2816-2013	MARIA LUIZA CORREA DA CAMARA ROSA
http://www.researcherid.com/rid/M-9477-2017	MARINA BENTO SOARES
http://www.researcherid.com/rid/C-7429-2013	MARCUS VINICIUS DORNELES REMUS
http://www.researcherid.com/rid/O-9779-2018	PAULO ALVES DE SOUZA
http://www.researcherid.com/rid/G-3641-2012	ROBERTO IANNUZZI
http://www.researcherid.com/rid/D-6030-2014	ROMMULO VIEIRA CONCEICAO
http://www.researcherid.com/rid/C-4027-2013	SERGIO REBELLO DILLENBURG
http://www.researcherid.com/rid/Q-2914-2018	TAIS FREITAS DA SILVA
